"Order in adlib","Adlib field name","Drupal field name","Appears in","Field type","Multiple","Solr field name","Remarks"
14,"acquisition.date","field_adlib_acquisition_date ","When","Text",0,"acquisition_date",
15,"acquisition.place","field_adlib_acquisition_place ","Where","Text",0,"acquisition_place",
13,"acquisition.source","field_adlib_acquisition_source ","Who","Text",1,"acquisition_source",
29,"chronicle.title","field_adlib_chronicle_title ",,"Text",1,"chronicle_title",
31,"creation_presentation","field_adlib_creation_present ","Who","Text",0,"creation_presentation",
3,"creator","field_adlib_creator ","Who","Text",1,"creator",
36,"credit_line","field_adlib_credit_line",,"Text",1,"credit_line",
39,"description","field_adlib_description","What","Text",1,"description",
37,"description.paragraph_presentation","field_adlib_paragraph_present",,"Text",1,"description_paragraph_presentation",
38,"description.qualification_presentation","field_adlib_qualific_present",,"Text","?","description_qualification_presentation",
34,"dimensions_presentation","field_adlib_dim_presentation ","How","Text",0,"dimensions_presentation",
16,"documentation.title","field_adlib_documentation_title ",,"Text",1,"documentation_title",
17,"documentation.title.lref","field_adlib_doc_title_lref ",,"String",1,"documentation_title_lref",
26,"edit.date","field_adlib_edit_date ",,"String",0,"edit_date",
11,"inscription.date","field_adlib_inscription_date ","When","Text",1,"inscription_date",
12,"inscription.maker","field_adlib_inscription_maker ","Who","Text",1,"inscription_maker",
27,"institution.name","field_adlib_institution_name","Who","Text",0,"institution_name",
5,"material","field_adlib_material ","How","Text",1,"material",
35,"material_technique_presentation","field_adlib_material_present ","How","Text",0,"material_technique_presentation",
2,"object_name","field_adlib_object_name ","What","Text",1,"object_name",
19,"part_of_reference","field_adlib_part_of_reference ",,"String",1,"part_of_reference",
20,"part_of.title","field_adlib_part_of_title ",,"Text",1,"part_of_title",
21,"parts_reference","field_adlib_parts_reference ",,"String",1,"parts_reference",
23,"parts.title","field_adlib_parts_title ",,"Text",1,"parts_title",
1,"object_number","field_adlib_pid, guid",,"String",0,"pid",
9,"production.date.end","field_adlib_prod_date_end ","When","Text",1,"production_date_end",
33,"production.date_presentation","field_adlib_prod_date_present ","When","Text",0,"production_date_presentation",
8,"production.date.start","field_adlib_prod_date_start ","When","Text",1,"production_date_start",
10,"production.period","field_adlib_production_period ","When","Text",1,"production_period",
4,"production.place","field_adlib_production_place ","Where","Text",1,"production_place",
32,"production.place_presentation","field_adlib_prod_place_present","Where","Text",0,"production_place_presentation",
25,"production.reason","field_adlib_production_reason",,"Text","?","production_reason",
22,"related_object.reference","field_adlib_rel_obj_reference ",,"String",1,"related_object_reference",
24,"related_object.title","field_adlib_rel_obj_title ",,"Text",1,"related_object_title",
40,"tags","field_adlib_tag ",,"Text",1,"tags",
28,"reproduction.identifier_URL","field_adlib_image ",,"String",1,"reproduction_identifier_URL",
18,"reproduction.reference","field_adlib_repro_reference",,"String",1,"reproduction_reference",
6,"technique","field_adlib_technique ","How","Text",1,"technique",
7,"title","title, field_adlib_title","What","Text",1,"title",
30,"title.short_description","field_adlib_title_short_desc ","What","Text",0,"title_short_description",
